This table is from zone_settings sql. zoneip and zoneport are the default values, and will be adjusted if your server separates the zones across different computers.
zoneid 	zonetype 	zoneip 	zoneport 	name 	music_day 	music_night 	battlesolo 	battlemulti 	restriction 	tax 	misc
0 	1 	127.0.0.1 	54230 	unknown 	0 	0 	0 	0 	0 	0 	32
1 	2 	127.0.0.1 	54230 	Phanauet_Channel 	229 	229 	101 	219 	0 	0 	152
2 	2 	127.0.0.1 	54230 	Carpenters_Landing 	0 	0 	101 	219 	0 	0 	156
3 	2 	127.0.0.1 	54230 	Manaclipper 	229 	229 	101 	219 	0 	0 	152
4 	2 	127.0.0.1 	54230 	Bibiki_Bay 	0 	0 	101 	219 	0 	0 	156
5 	2 	127.0.0.1 	54230 	Uleguerand_Range 	0 	0 	101 	219 	0 	0 	156
6 	4 	127.0.0.1 	54230 	Bearclaw_Pinnacle 	0 	0 	220 	220 	0 	0 	144
7 	2 	127.0.0.1 	54230 	Attohwa_Chasm 	0 	0 	101 	219 	0 	0 	156
8 	4 	127.0.0.1 	54230 	Boneyard_Gully 	0 	0 	220 	220 	0 	0 	144
9 	3 	127.0.0.1 	54230 	PsoXja 	225 	225 	115 	218 	0 	0 	145
10 	4 	127.0.0.1 	54230 	The_Shrouded_Maw 	0 	0 	220 	220 	0 	0 	145
11 	3 	127.0.0.1 	54230 	Oldton_Movalpolos 	221 	221 	115 	218 	0 	0 	145
12 	3 	127.0.0.1 	54230 	Newton_Movalpolos 	221 	221 	115 	218 	0 	0 	145
13 	4 	127.0.0.1 	54230 	Mine_Shaft_2716 	0 	0 	220 	220 	0 	0 	145
14 	3 	127.0.0.1 	54230 	Hall_of_Transference 	0 	0 	115 	218 	0 	0 	144
15 	2 	127.0.0.1 	54230 	Abyssea-Konschtat 	51 	51 	52 	52 	0 	0 	154
16 	3 	127.0.0.1 	54230 	Promyvion-Holla 	222 	222 	115 	218 	30 	0 	145
17 	4 	127.0.0.1 	54230 	Spire_of_Holla 	0 	0 	220 	220 	0 	0 	145
18 	3 	127.0.0.1 	54230 	Promyvion-Dem 	222 	222 	115 	218 	30 	0 	145
19 	4 	127.0.0.1 	54230 	Spire_of_Dem 	0 	0 	220 	220 	0 	0 	145
20 	3 	127.0.0.1 	54230 	Promyvion-Mea 	222 	222 	115 	218 	30 	0 	145
21 	4 	127.0.0.1 	54230 	Spire_of_Mea 	0 	0 	220 	220 	0 	0 	145
22 	3 	127.0.0.1 	54230 	Promyvion-Vahzl 	222 	222 	115 	218 	50 	0 	145
23 	4 	127.0.0.1 	54230 	Spire_of_Vahzl 	0 	0 	220 	220 	0 	0 	145
24 	2 	127.0.0.1 	54230 	Lufaise_Meadows 	230 	230 	101 	219 	0 	0 	156
25 	2 	127.0.0.1 	54230 	Misareaux_Coast 	230 	230 	101 	219 	0 	0 	156
26 	1 	127.0.0.1 	54230 	Tavnazian_Safehold 	245 	245 	245 	245 	0 	0 	616
27 	3 	127.0.0.1 	54230 	Phomiuna_Aqueducts 	0 	0 	115 	218 	40 	0 	145
28 	3 	127.0.0.1 	54230 	Sacrarium 	0 	0 	115 	218 	50 	0 	145
29 	3 	127.0.0.1 	54230 	Riverne-Site_B01 	0 	0 	115 	218 	50 	0 	153
30 	3 	127.0.0.1 	54230 	Riverne-Site_A01 	0 	0 	115 	218 	40 	0 	153
31 	4 	127.0.0.1 	54230 	Monarch_Linn 	0 	0 	220 	220 	0 	0 	145
32 	1 	127.0.0.1 	54230 	Sealions_Den 	245 	245 	220 	220 	0 	0 	145
